Source,Target
3,258
9,87849
9,35053
11,172783
34,252056
41,133647
50,14354
50,182723
94,72679
100,6993
100,150887
116,61567
127,236202
127,233219
128,9460
131,33013
134,35971
134,117721
154,80
167,16446
193,143192
198,42532
256,1400
256,18903
304,35629
307,37531
365,39658
365,2389
370,25609
375,39336
386,25633
400,172391
400,285434
426,427
426,64788
442,7850
447,38071
454,320
465,222649
486,36815
493,50931
505,427
513,4983
579,17249
579,174292
615,8159
617,4983
631,868
647,68918
649,451620
669,656
674,166542
723,17249
723,14458
730,4667
743,8015
773,48535
781,155679
829,5121
833,289402
833,80589
842,5264
852,117127
867,328347
867,495957
915,52413
915,1207
915,59347
974,127923
974,86358
988,153894
988,4983
988,15518
988,259649
988,41478
988,22743
994,75334
1026,25961
1044,35629
1057,2608
1064,615
1069,30032
1120,14673
1120,32276
1158,138860
1164,374911
1190,64073
1220,14155
1307,73866
1318,307
1360,9017
1366,185413
1373,7654
1400,18903
1400,443761
1457,5121
1488,35629
1488,240786
1529,172126
1529,94882
1540,19442
1571,1557
1598,21572
1620,70599
1633,1598
1672,1237
1685,145443
1751,765
1763,16001
1784,281519
1784,292164
1784,260288
1790,383960
1792,78907
1792,21586
1792,61339
1802,374
1863,1175
1877,93114
1877,67594
1881,293701
1895,69
1907,481
1918,162075
1942,6916
1991,2271
2014,1143
2045,1224
2057,116
2073,133737
2075,19320
2123,293426
2194,10228
2194,2099
2194,56673
2198,17249
2206,66928
2209,852
2214,7477
2214,107726
2214,234217
2219,155163
2238,220063
2258,16813
2261,192572
2301,4408
2335,629
2335,628
2388,144621
2389,432743
2389,39658
2389,365
2408,2582
2424,2271
2443,2368
2448,14378
2465,35401
2465,635
2473,974
2502,4983
2530,5567
2540,3944
2567,67758
2622,162075
2628,2392
2652,4983
2659,1637
2674,16988
2678,14686
2719,102325
2773,68918
2781,10693
2781,9424
2781,10121
2781,9900
2792,34572
2792,17249
2835,14301
2855,130649
2936,20204
2946,510724
2960,94
2960,72679
3037,64605
3045,867
3136,101688
3179,15520
3180,31260
3180,87447
3189,1385
3205,73589
3237,195088
3270,4983
3348,6382
3353,97118
3377,3348
3382,280312
3382,113544
3394,3348
3426,2522
3446,197479
3446,30145
3450,2672
3489,28086
3503,243985
3541,7769
3549,371953
3549,203301
3576,170348
3652,171914
3659,49869
3672,27907
3778,10998
3841,65925
3850,178016
3850,181217
3856,2631
3865,116794
3879,212299
3883,6698
3899,3719
3913,1277
3915,4922
3924,285434
3929,4000
3949,3934
3949,1277
3982,2596
4014,230698
4029,3883
4068,272215
4075,21305
4078,5121
4097,4098
4109,57028
4158,76346
4158,4983
4163,25764
4190,2465
4208,65830
4253,61396
4253,125537
4263,4266
4266,40303
4304,31427
4360,1974
4362,3673
4408,46436
4408,61396
4408,147576
4408,2301
4408,66548
4408,180336
4408,86977
4408,119080
4408,162075
4408,4401
4428,4983
4428,107726
4428,39805
4452,3205
4467,145537
4497,75998
4497,116741
4530,4408
4546,285434
4572,124102
4586,4983
4586,110821
4615,45949
4625,34768
4658,4983
4660,7597
4662,26290
4662,4658
4675,554630
4678,4743
4683,38830
4717,2194
4719,1743
4732,206219
4743,17249
4760,5121
4762,4765
4766,211416
4766,287444
4769,4628
4814,442
4841,15408
4901,65001
4922,4983
4942,4983
4942,17249
4950,92556
4967,17841
4983,35629
5018,6176
5054,674
5082,5138
5121,109779
5138,5082
5138,4662
5145,906
5149,112852
5209,5203
5218,4324
5230,3
5238,131
5241,136062
5270,723
5283,897
5295,17249
5314,4662
5324,583698
5328,2301
5331,9
5335,48488
5342,41
5363,3359
5369,2540
5397,3222
5416,4983
5435,96
5437,3375
5440,974
5440,3503
5444,2045
5458,48535
5459,14629
5459,5567
5459,56104
5466,368068
5470,4983
5482,5484
5484,83172
5490,4983
5490,42895
5506,5433
5522,131
5530,5490
5551,4119
5558,56104
5558,48468
5558,225432
5558,4983
5567,64515
5567,14629
5567,55848
5575,4942
5603,15932
5612,42340
5623,5257
5623,5178
5634,22946
5636,4502
5651,21686
5651,67194
5679,5458
5680,3780
5702,5121
5720,5435
5726,2194
5734,852
5748,326532
5749,4658
5763,91815
5763,110477
5795,86669
5818,14168
5826,2194
5845,25110
5853,12845
5855,5829
5855,5675
5865,5790
5876,131
5887,5571
5907,9460
5907,24235
5911,60467
5915,5675
5932,5304
5949,3807
5956,63696
5956,223501
5980,318506
5980,2793
5983,96967
5985,4942
5990,974
6001,309276
6009,40931
6021,1400
6075,7700
6107,105891
6107,463289
6107,394620
6121,147942
6124,4694
6135,6967
6135,38772
6135,33551
6147,17249
6147,24957
6171,5996
6176,5018
6193,1874
6217,4314
6222,29313
6222,37434
6249,19470
6253,105102
6290,162075
6302,10090
6302,21686
6302,28050
6307,22946
6309,1836
6317,427
6328,16988
6328,81585
6328,221835
6328,88384
6328,1366
6328,12516
6328,343268
6328,107538
6339,4983
6339,181607
6339,13758
6340,3807
6382,517339
6382,3348
6418,58172
6418,9865
6418,66160
6421,5121
6439,5853
6441,16104
6453,6291
6490,247
6491,62756
6505,89643
6539,6092
6558,3578
6584,5811
6584,5097
6585,4109
6587,3940
6595,6558
6629,1400
6654,4572
6656,5065
6656,162075
6676,11825
6698,3883
6698,213533
6705,6531
6718,2596
6718,5938
6734,17381
6796,7205
6819,529
6833,16874
6873,174905
6882,17249
6897,1148
6906,5018
6925,20460
6928,6842
6936,6078
6936,3085
6942,2235
6948,6800
6948,21886
6948,162571
6969,156296
7013,5938
7026,56313
7026,17610
7027,3378
7034,371694
7034,41332
7054,6698
7054,213533
7107,5938
7141,5907
7157,6431
7202,4983
7205,6796
7206,6422
7240,48140
7241,6222
7241,37434
7257,4266
7266,5558
7277,79878
7283,4983
7320,6422
7332,4428
7340,8425
7354,80589
7373,4983
7390,6523
7391,59632
7427,7288
7429,47522
7470,3807
7475,5320
7477,43317
7477,168280
7479,43280
7485,69556
7498,285642
7498,14629
7498,218085
7516,1148
7519,105730
7597,4660
7606,2235
7624,4983
7643,4983
7654,75916
7659,43314
7659,22510
7686,1895
7686,69
7697,6135
7707,7569
7713,5536
7716,147942
7716,334298
7716,112148
7749,7768
7760,5203
7768,7749
7769,7775
7771,647
7776,457204
7798,1844
7809,6317
7809,2596
7848,7225
7850,32231
7865,52963
7884,4103
7912,6507
7924,7715
7924,7769
7931,1081
7931,4796
7931,6604
7955,1308
7960,6784
7996,5121
7996,96753
8016,6946
8038,2901
8040,13487
8043,37
8079,37066
8079,2710
8086,7675
8095,2261
8102,2724
8136,48299
8148,9
8159,258182
8179,89096
8183,3085
8194,8238
8200,6936
8200,6078
8205,14750
8226,17249
8277,361991
8285,43365
8321,5121
8329,6996
8377,5845
8384,1647
8394,49435
8400,10905
8402,17249
8441,143989
8444,38970
8470,7480
8498,4109
8539,3781
8546,146425
8546,974
8546,8344
8547,3678
8560,5976
8606,6586
8610,130158
8620,100411
8624,5571
8669,10228
8669,36274
8700,3934
8701,25409
8746,9606
8746,5121
8772,7578
8774,2596
8794,5998
8803,14745
8805,8606
8822,72023
8834,129339
8834,111669
8834,31240
8839,8467
8870,10005
8888,2596
8888,7576
8890,8546
8890,8344
8890,974
8891,8845
8896,6529
8905,8919
8911,69810
8918,9065
8926,5911
8980,4428
9000,43020
9017,16178
9017,6676
9024,27213
9025,37753
9025,39922
9031,6033
9040,5794
9047,9248
9092,5929
9107,169033
9123,4124
9135,2038
9135,56313
9135,70866
9161,5980
9168,9336
9168,20507
9206,22667
9221,14008
9274,17202
9285,100
9285,6993
9306,1090
9318,5669
9324,15433
9336,9168
9349,4103
9372,41478
9372,988
9372,22743
9372,153894
9383,6586
9398,5571
9417,339853
9458,22118
9460,24235
9460,101624
9460,4983
9475,63574
9481,9467
9512,5121
9540,87665
9545,11
9579,11573
9591,113188
9599,46588
9630,7444
9639,7697
9641,2280
9669,3617
9682,4989
9741,14008
9770,418468
9774,13389
9780,2053
9780,9848
9806,9382
9809,3503
9817,1771
9817,400
9853,9848
9865,29553
9865,80589
9865,41241
9867,260244
9882,2724
9883,9861
9886,10228
9905,65281
9922,4950
9933,108067
9954,296197
9966,248
9968,9432
9972,9890
9978,131
9994,9189
9994,5484
10009,1844
10054,66183
10059,9817
10075,9861
10075,9432
10079,9930
10110,9890
10110,9854
10121,22946
10140,10121
10161,867
10198,9886
10220,3841
10221,10273
