Id,Label,Size
1,"Every time I turn on my computer I see a message saying something like  Your battery may be old or broken   I am already aware that my battery is bad How do I suppress this message ",82
3,"How can I set the Software Center to allow non root users to install stuff from the Ubuntu repos without having to type in their password  I'm fully aware of the security implications and I am willing to take the risk Fedora 12 shipped with something like this By modifying the PolicyKit configuration I believe ",96
5,"What are some alternatives to upgrading without using the standard upgrade system Suppose for example that I wanted to upgrade an Ubuntu installation on a machine with a poor Internet connection What would my options be Could I just use a standard Ubuntu disk to upgrade this machine If I already have a standard Ubuntu disk and want to use that could I do a clean install without wiping data ",33
6,"I have a ubuntu development server at work It is an old rack server that is located somewhere in the company's dungeon where nobody ever goes The only way it can work is as a so called headless server ie with no monitor keyboard connected and only accepting network connections  Obviously if you just need terminal access ssh is more than enough I however would also like to connect to the graphical interface from time to time At the moment I am using the built in VNC functionality but I am pretty sure this is neither the most efficient nor the most secure way of approaching this issue  I have done a bit of research on the issue but failed to come to any definite conclusions I read about trying to forward the X environment over ssh which would at least solve my security concerns Can anyone share their experiences in setting this up Is there any other way that might be worth looking at  I almost exclusively connect to this server from a Windows machine I don't know if that might be a problem for some of the methods suggested ",92
7,"I'm taking my be stickered laptop to a coffee shop tonight for an Ubuntu Hour  I've let a bunch of local LUG people know about it  How can I ensure people come away from it feeling like the experience was valuable  Is there something you've done that was particularly successful  There is a wiki page about Ubuntu Hours which is very helpful  I'm interested in collecting best practices from the community ",41
8,"I started with Ubuntu Karmic and wanted to try KDE So I installed kubuntu desktop Then I wanted to see how XFCE progressed so I installed xfce4 I now have Kubuntu with an XFCE splash and login  How do I safely purge XFCE and just have the Kubuntu splash   login screen or am I stuck with frank en buntu ",38
9,"Update Manager is constantly offering me updates eg security fixes updates from PPAs  How can I tell my Ubuntu installation to automatically download and install updates whenever they become available ",248
11,"I have had significant problems with watching flash video in 64 bit Ubuntu  Does anyone know of a good way to get flash running on the platform ",256
14,"I'd like to have Ubuntu not check for updates as often How do I accomplish this ",80
15,"I've followed the steps outlined in this HowTo  Right after I log in to Gnome I can move the mouse back and forth but as soon as the task bar loads the mouse becomes jailed in the screen its in can't move between screens  This is my xorgconf   Section ServerLayout             Identifier     Layout0             Screen      0  DisplayLinkScreen 0 0             Screen   1  Screen0 LeftOf DisplayLinkScreen             InputDevice    Keyboard0 CoreKeyboard             InputDevice    Mouse0 CorePointer             Option     Xinerama 0 Could not get this to work it has to be disable EndSection  Section Files  ModulePath    usr local lib xorg modules drivers  ModulePath       usr lib xorg modules drivers  ModulePath       usr local lib   ModulePath    usr lib xorg modules  FontPath      usr share fonts X11 misc  FontPath      usr share fonts X11 cyrillic  FontPath      usr share fonts X11 100dpi unscaled  FontPath      usr share fonts X11 75dpi unscaled  FontPath      usr share fonts X11 Type1  FontPath      usr share fonts X11 100dpi  FontPath      usr share fonts X11 75dpi  FontPath      var lib defoma x ttcidfont confd dirs TrueType  FontPath     built ins EndSection  Section Module  Load  dbe  Load  dri  Load  dri2  Load  extmod  Load  glx  Load  record EndSection  Section InputDevice  Identifier  Keyboard0  Driver      kbd EndSection  Section InputDevice  Identifier  Mouse0  Driver      mouse  Option     Protocol auto  Option      Device  dev psaux    Option     Device  dev input mice  Option     ZAxisMapping 4 5 6 7 EndSection  Section Monitor  Identifier   Monitor0  VendorName   Monitor Vendor  ModelName    Monitor Model EndSection  Section Device          Available Driver options are           Values i integer f float bool True False          string String freq f Hz kHz MHz          arg arg optional         Option     NoAccel              bool         Option     SWcursor             bool         Option     ColorKey             i         Option     CacheLines           i         Option     Dac6Bit              bool         Option     DRI                  bool         Option     NoDDC                bool         Option     ShowCache            bool         Option     XvMCSurfaces         i         Option     PageFlip             bool  Identifier  Card0  Driver      intel  VendorName  Intel Corporation  BoardName   Core Processor Integrated Graphics Controller  BusID       PCI020  Option     DPMS EndSection  Section Screen  Identifier Screen0  Device     Card0  Monitor    Monitor0  SubSection Display   Viewport   0 0   Depth     1  EndSubSection  SubSection Display   Viewport   0 0   Depth     4  EndSubSection  SubSection Display   Viewport   0 0   Depth     8  EndSubSection  SubSection Display   Viewport   0 0   Depth     15  EndSubSection  SubSection Display   Viewport   0 0   Depth     16  EndSubSection  SubSection Display   Viewport   0 0   Depth     24  EndSubSection EndSection  Section Monitor     Identifier     DisplayLinkMonitor EndSection Section Device     Identifier  DisplayLinkDevice     Driver  displaylink     Option   fbdev  dev fb0 EndSection Section Screen     Identifier      DisplayLinkScreen     Device          DisplayLinkDevice     Monitor         DisplayLinkMonitor     SubSection Display         Depth       24         Modes       1920x1200 1920x1080 1680x1050 1600x1200 1440x900 1366x768 1280x1024 1280x960 1280x800  1280x768  1152x864 1024x768 800x600 640x480      EndSubSection EndSection   Any help would be appreciated I'm so close to getting this to work ",12
16,"Sage's installation instructions basically tell me to just untar it and run it from wherever I'd like Not being experienced with the linux way of where things should go in the filesystem I'm kind of at a loss where I should best put it Putting it somewhere in my home directory feels wrong  Where would you extract it to  opt ",31
24,"In the upper right panel there is by default a drop down menu where you can set your online status interact with Ubuntu One etc It is placed right next to the drop down menu which lets you logout reboot shutdown etc  For me personally I have no use for the online status menu so I usually remove it The problem is that it seems to belong to the same panel applet as the actually wanted logout menu since that menu too disappears I believe we are talking about the Indicator Applet Session  Is there some way I can hide or disable the online status menu but still keep the neighboring logout menu  I am running Ubuntu 1004 ",23
28,"I'm using Hardy server on quite a few machines and I'd like to upgrade to the latest LTS Is it safe to edit my sourceslist file to just point to the new LTS or should I do a succession of dist upgrades until I reach the latest LTS ",21
33,"We have installed Ubuntu desktop edition on our development server Now that we have it in a data center we would like to strip it down to a server edition  Is there an easy way of doing so rather than just going in and uninstalling packages by hand ",62
34,"I set up a new VPS instance of Ubuntu and am wondering what the easiest way is to get up and running with a basic LAMP stack ie which packages are required which configuration options need to be tweaked if any etc ",236
36,"Hello we have installed an ubuntu desktop edition on our dev server I was wondering if there is any noticeable performance loss compared to the server edition ",55
37," Does encrypting my home folder make my computer more secure Do I have to enter my password more if my home folder is encrypted What else should I know about encrypting my home folder  ",163
