questionId,overallQuality
1,82
3,96
5,33
6,92
7,41
8,38
9,248
11,256
14,80
15,12
16,31
24,23
28,21
33,62
34,236
36,55
37,163
38,15
41,78
47,11
50,28
51,23
53,35
56,12
58,20
61,14
66,39
67,235
69,29
72,10
76,288
80,50
82,32
83,54
86,70
93,11
95,50
96,24
99,14
100,35
108,38
111,55
112,12
116,64
120,113
127,49
128,33
131,224
134,424
142,101
152,27
154,11
158,5
164,354
174,25
181,9
182,41
193,72
194,337
205,18
209,54
212,10
218,108
219,81
221,58
224,61
226,74
228,66
230,20
244,8
247,259
248,92
249,17
253,17
256,107
261,31
270,21
276,15
277,11
278,20
279,17
280,9
282,14
283,41
287,16
292,58
297,22
304,24
305,28
307,1275
312,17
315,10
320,12
324,23
326,10
327,191
339,114
343,34
348,15
352,62
353,26
358,123
365,53
367,12
369,18
370,24
374,33
375,8
395,21
400,442
405,65
406,16
417,56
422,26
424,100
427,122
442,65
443,99
447,148
454,36
456,18
459,8
460,26
463,23
465,75
467,27
474,45
477,20
481,221
486,167
493,26
494,11
500,225
501,153
505,39
513,42
515,35
517,22
519,60
522,47
527,22
529,109
533,20
534,4
537,10
540,112
557,19
561,51
564,12
565,128
571,28
575,92
583,36
594,437
601,786
613,20
615,150
617,8
620,28
622,103
629,20
631,21
635,128
641,20
642,201
645,149
647,78
654,30
656,45
657,15
662,11
669,31
671,30
676,15
678,12
684,80
690,141
691,17
692,138
693,16
694,27
701,16
703,27
704,31
710,40
713,52
721,24
723,42
725,23
730,90
732,52
737,31
743,167
745,28
748,36
754,20
756,18
760,22
765,12
766,24
767,8
772,8
774,32
776,105
781,33
784,67
787,27
797,27
798,27
800,81
804,196
813,16
814,565
823,38
829,6
831,65
833,37
834,22
842,18
847,8
849,21
852,99
855,39
856,102
860,72
863,63
867,357
868,77
889,17
894,8
897,171
906,18
908,74
916,13
933,125
935,10
943,12
953,9
954,12
959,21
962,17
970,28
974,535
982,36
988,309
991,12
992,34
993,10
994,45
999,10
1004,15
1006,60
1007,13
1012,45
1020,31
1028,18
1039,13
1042,3
1044,28
1050,17
1057,42
1059,8
1063,7
1066,22
1068,7
1069,155
1076,23
1080,3
1081,21
1082,9
1083,31
1084,23
1086,36
1087,14
1090,195
1095,24
1097,17
1099,20
1102,24
1109,16
1110,4
1120,326
1126,7
1132,32
1136,13
1142,28
1143,77
1145,43
1147,18
1148,249
1158,131
1164,290
1172,8
1175,49
1185,9
1190,162
1193,9
1194,17
1204,16
1207,25
1208,27
1210,9
1220,279
1224,667
1230,95
1233,152
1242,135
1245,23
1247,6
1263,15
1266,53
1269,8
1272,27
1273,16
1275,7
1276,42
1277,32
1281,10
1283,49
1285,45
1294,3
1298,10
1303,5
1304,8
1305,12
1306,33
1307,26
1308,19
1317,27
1324,19
1325,12
1326,12
1331,9
1336,109
1343,9
1345,135
1349,17
1352,203
1357,260
1364,10
1366,143
1383,11
1385,52
1387,7
1392,10
1400,422
1403,22
1414,190
1420,34
1426,3
1436,6
1437,68
1441,401
1442,12
1444,6
1459,78
1463,42
1465,10
1477,19
1479,7
1488,223
1500,44
1501,40
1502,9
1514,18
1520,9
1527,31
1528,74
1529,391
1537,22
1540,67
1541,28
1552,19
1557,16
1570,12
1571,6
1572,7
1573,20
1577,285
1583,14
1596,32
1600,5
1603,21
1618,18
1620,76
1624,11
1626,42
1629,11
1637,109
1644,33
1647,52
1649,64
1656,19
1662,25
1668,18
1680,6
1685,40
1686,28
1691,40
1694,19
1695,47
1697,13
1700,48
1702,8
1704,14
1705,122
1708,20
1712,20
1718,26
1721,15
1722,118
1732,125
1733,26
1736,30
1743,281
1751,5
1752,8
1755,73
1758,9
1759,8
1763,128
1766,5
1767,16
1772,98
1780,13
1784,127
1786,75
1788,6
1789,11
1790,11
1792,542
1793,17
1801,25
1802,12
1807,138
1813,43
1816,73
1820,61
1829,20
1830,36
1832,27
1836,26
1844,71
1846,13
1847,19
1861,40
1863,10
1866,4
1871,46
1874,43
1877,360
1881,111
1889,19
1892,11
1895,34
1908,17
1909,16
1916,23
1918,18
1919,66
1926,8
1927,21
1938,68
1942,34
1943,111
1954,6
1956,7
1962,80
1966,44
1974,27
1978,15
1982,18
1986,42
1991,52
1993,24
2007,111
2013,21
2014,36
2018,7
2021,71
2028,7
2033,8
